"from","to"
13,109
13,121
13,146
14,1
14,2
14,3
14,4
14,5
14,6
14,7
14,8
14,9
14,10
14,11
14,13
14,15
14,16
14,17
14,18
14,21
14,22
14,23
14,25
14,26
14,27
14,28
14,29
14,30
14,31
14,32
14,33
14,34
14,35
14,36
14,37
14,39
14,40
14,42
14,44
14,45
14,48
14,49
14,51
14,52
14,53
14,54
14,55
14,57
14,58
14,59
14,60
14,62
14,63
14,67
14,68
14,69
14,70
14,71
14,72
14,73
14,74
14,76
14,78
14,79
14,80
14,82
14,83
14,84
14,86
14,87
14,88
14,91
14,94
14,96
14,98
14,100
14,102
14,103
14,104
14,105
14,109
14,112
14,113
14,116
14,117
14,118
14,119
14,120
14,121
14,125
14,127
14,128
14,133
14,134
14,139
14,146
14,148
14,150
14,156
14,157
14,158
14,166
14,170
14,173
14,178
14,180
14,182
14,187
14,193
14,212
14,213
15,1
15,2
15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,10
15,11
15,13
15,14
15,16
15,17
15,18
15,19
15,21
15,22
15,23
15,25
15,26
15,27
15,28
15,29
15,30
15,31
15,32
15,33
15,34
15,35
15,36
15,37
15,39
15,40
15,42
15,44
15,45
15,48
15,49
15,51
15,52
15,53
15,54
15,55
15,57
15,58
15,59
15,60
15,62
15,63
15,66
15,68
15,69
15,70
15,71
15,72
15,73
15,74
15,76
15,77
15,78
15,79
15,80
15,82
15,83
15,84
15,86
15,87
15,88
15,89
15,90
15,91
15,92
15,94
15,96
15,97
15,98
15,100
15,102
15,103
15,104
15,105
15,108
15,109
15,112
15,113
15,116
15,117
15,119
15,121
15,125
15,127
15,128
15,130
15,133
15,134
15,146
15,148
15,150
15,156
15,157
15,158
15,170
15,173
15,180
15,182
15,187
15,193
15,212
16,6
16,45
16,58
16,66
16,76
16,79
16,97
16,103
16,108
16,112
16,120
16,127
16,136
16,178
17,1
17,2
17,4
17,6
17,7
17,8
17,14
17,15
17,21
17,22
17,23
17,27
17,29
17,34
17,36
17,37
17,39
17,44
17,45
17,52
17,71
17,72
17,80
17,82
17,92
17,94
17,96
17,105
17,109
17,119
17,134
17,138
17,150
17,155
17,158
17,170
17,180
17,187
17,190
17,193
17,212
18,1
18,2
18,3
18,6
18,7
18,8
18,9
18,10
18,14
18,17
18,23
18,26
18,27
18,28
18,29
18,31
18,33
18,34
18,39
18,44
18,45
18,52
18,63
18,71
18,76
18,77
18,105
18,119
18,125
18,130
18,134
18,146
18,156
18,158
18,165
18,166
18,180
18,193
18,212
19,1
19,2
19,6
19,7
19,9
19,14
19,15
19,23
19,25
19,26
19,27
19,28
19,34
19,36
19,37
19,39
19,40
19,44
19,45
19,69
19,71
19,72
19,100
19,105
19,125
19,133
19,134
19,150
19,158
19,212
20,21
20,36
20,40
21,1
21,2
21,3
21,4
21,6
21,7
21,8
21,9
21,11
21,13
21,14
21,15
21,22
21,25
21,26
21,27
21,30
21,33
21,34
21,35
21,36
21,37
21,44
21,45
21,48
21,52
21,60
21,62
21,63
21,68
21,69
21,70
21,73
21,80
21,84
21,87
21,88
21,102
21,105
21,109
21,125
21,134
21,148
21,182
22,2
22,3
22,4
22,5
22,6
22,7
22,8
22,9
22,10
22,11
22,13
22,14
22,15
22,16
22,17
22,18
22,21
22,23
22,25
22,26
22,27
22,29
22,30
22,31
22,32
22,33
22,34
22,35
22,36
22,37
22,39
22,40
22,42
22,44
22,45
22,48
22,51
22,52
22,53
22,54
22,55
22,57
22,58
22,59
22,60
22,62
22,63
22,66
22,67
22,68
22,69
22,70
22,71
22,73
22,74
22,76
22,77
22,78
22,79
22,80
22,82
22,83
22,84
22,86
22,87
22,88
22,90
22,91
22,92
22,94
22,96
22,98
22,100
22,102
22,103
22,104
22,105
22,108
22,109
22,115
22,116
22,119
22,121
22,125
22,127
22,128
22,134
22,146
22,148
22,150
22,156
22,158
22,170
22,173
22,178
22,182
22,187
22,212
23,1
23,2
23,3
23,4
23,5
23,6
23,7
23,8
23,9
23,10
23,11
23,13
23,14
23,15
23,17
23,18
23,21
23,22
23,26
23,27
23,29
23,30
23,31
23,32
23,33
23,34
23,35
23,36
23,37
23,39
23,40
23,42
23,44
23,45
23,60
23,62
23,63
23,70
23,73
23,76
23,80
23,82
23,92
23,105
23,109
23,125
23,134
23,140
23,146
23,156
23,158
24,4
24,17
24,32
24,72
24,100
24,133
25,2
25,3
25,4
25,5
25,6
25,11
25,14
25,15
25,19
25,21
25,22
25,25
25,27
25,28
25,30
25,33
25,34
25,35
25,36
25,37
25,44
25,45
25,54
25,57
25,62
25,63
25,68
25,76
25,84
25,87
25,89
25,94
25,96
25,105
25,115
25,116
25,118
25,119
25,125
25,130
25,134
25,146
25,157
25,158
25,170
25,173
25,180
25,187
25,193
26,1
26,2
26,3
26,5
26,6
26,7
26,8
26,9
26,10
26,14
26,15
26,17
26,18
26,19
26,21
26,22
26,23
26,25
26,26
26,27
26,28
26,29
26,32
26,33
26,34
26,35
26,36
26,37
26,39
26,44
26,45
26,48
26,54
26,55
26,59
26,62
26,63
26,69
26,70
26,75
26,76
26,80
26,92
26,96
26,99
26,103
26,104
26,105
26,109
26,110
26,112
26,119
26,120
26,121
26,125
26,128
26,130
26,134
26,139
26,146
26,148
26,150
26,155
26,156
26,158
26,166
26,180
26,182
26,187
26,193
26,212
27,1
27,2
27,3
27,4
27,5
27,6
27,7
27,8
27,9
27,10
27,11
27,13
27,14
27,15
27,16
27,17
27,19
27,21
27,22
27,23
27,25
27,26
27,28
27,29
27,30
27,31
27,32
27,33
27,34
27,35
27,36
27,37
27,39
27,40
27,42
27,44
27,45
27,48
27,49
27,51
27,52
27,53
27,54
27,55
27,57
27,58
27,59
27,60
27,62
27,63
27,67
